AUDIT_RUN /Users/xuhai.zhang/Documents/doc/AI Workforce/research/Agent_Harness_Book_Research_20260822/research/audits/review_20260919/execution/runs/20260919T095940Z_b_il6ikt
FAIL [dialect_adapter] SQL_k_gate_guarantees_numeric_revenue

GROUP safety
PASS [faithful_simulation] A_DENY_zero_execution
FAIL [faithful_simulation] A_approval_first_observation_defined
FAIL [faithful_simulation] A_approval_does_not_reuse_prior_observation
FAIL [faithful_simulation] CH6_DENY
FAIL [faithful_simulation] CH6_approval_batch
FAIL [faithful_simulation] CH6_cancel_in_batch
FAIL [faithful_simulation] CH10_DENY_zero_commit
PASS [faithful_simulation] CH10_approval_zero_commit
PASS [faithful_simulation] A_sequential_repeat_idempotent_with_strong_lookup
FAIL [faithful_simulation] A_lost_response_exception_normalized
FAIL [faithful_simulation] A_lost_response_marks_unknown
PASS [faithful_simulation] A_lost_response_recovery_strong_lookup_no_duplicate
PASS [faithful_simulation] A_nondefinitive_return_marks_unknown
FAIL [faithful_simulation] A_stale_lookup_setup_timeout
FAIL [faithful_simulation] A_retry_with_stale_lookup_exactly_once
FAIL [faithful_simulation] A_concurrent_lookup_then_execute_exactly_once
PASS [faithful_simulation] A_cancel_order_and_quiescence
FAIL [faithful_simulation] A_recover_terminal_cancelled_does_not_resume
PASS [corrected_simulation] corrected_deny_pending_unknown_zero_execution
PASS [corrected_simulation] corrected_approval_revalidate_revocation_and_cancellation
PASS [corrected_simulation] corrected_approval_explicit_observation
PASS [corrected_simulation] corrected_lost_response_recorded_unknown
PASS [corrected_simulation] corrected_unknown_unavailable_lookup_not_retried
PASS [corrected_simulation] corrected_recover_lost_once
PASS [corrected_simulation] corrected_target_atomic_idempotency_under_race
PASS [corrected_simulation] corrected_key_args_collision_rejected
PASS [corrected_simulation] corrected_cancel_committed_effect_retained_no_resume
PASS [corrected_simulation] corrected_resume_fresh_policy_and_credentials

GROUP additional_counterexamples
FAIL [faithful_state_graph_translation] R02_confirmed_effect_failed_health_not_verified_complete
PASS [corrected_simulation] R02_corrected_postcommit_health_gate
FAIL [faithful_prose_translation] CH6_compensation_alone_safe_retry_when_receipt_lost
PASS [corrected_simulation] CH6_corrected_unknown_does_not_replay_for_compensation
PASS [assumption_probe_not_original_failure] CH27_cancel_time_semantics_ambiguity_exposed
PASS [corrected_simulation] CH27_live_state_guard_prevents_enqueue
FAIL [faithful_prose_countermodel] CH27_claim_scope_and_invoice_both_fail_from_source_edit
PASS [explicit_fixture_verifier] CH27_independent_positive_and_three_negative_fixtures

GROUP repository_case
CMD  dst_git_init: exit=0
CMD  dst_git_add_baseline: exit=0
CMD  dst_baseline_tree: exit=0
CMD  dst_baseline_visible: exit=1
CMD  dst_baseline_ordinary: exit=0
FAIL [audit_created_fixture] DST_baseline_visible_contract
PASS [audit_created_fixture] DST_baseline_ordinary
CMD  dst_overfit_visible: exit=0
CMD  dst_overfit_diff: exit=0
CMD  dst_overfit_scope: exit=0
CMD  dst_overfit_verifier_init: exit=0
CMD  dst_overfit_verifier_add: exit=0
CMD  dst_overfit_apply_check: exit=0
CMD  dst_overfit_apply: exit=0
CMD  dst_overfit_hidden: exit=1
CMD  dst_overfit_clean_visible: exit=0
PASS [deterministic_stub] DST_overfit_visible
FAIL [deterministic_stub] DST_overfit_hidden
PASS [audit_created_verifier] DST_overfit_sealed_clean_scope
CMD  dst_repaired_visible: exit=0
CMD  dst_repaired_diff: exit=0
CMD  dst_repaired_scope: exit=0
CMD  dst_repaired_verifier_init: exit=0
CMD  dst_repaired_verifier_add: exit=0
CMD  dst_repaired_apply_check: exit=0
CMD  dst_repaired_apply: exit=0
CMD  dst_repaired_hidden: exit=0
CMD  dst_repaired_clean_visible: exit=0
PASS [deterministic_stub] DST_repaired_visible
PASS [deterministic_stub] DST_repaired_hidden
PASS [audit_created_verifier] DST_repaired_sealed_clean_scope
CMD  dst_untracked_workspace_visible: exit=0
CMD  dst_untracked_raw_diff: exit=0
CMD  dst_untracked_inventory: exit=0
CMD  dst_untracked_verifier_init: exit=0
CMD  dst_untracked_verifier_add: exit=0
CMD  dst_untracked_apply: exit=0
CMD  dst_untracked_clean_visible: exit=2
FAIL [faithful_protocol_fixture] git_raw_diff_captures_untracked_required_newfile
CMD  dst_drift_init: exit=0
CMD  dst_drift_add: exit=0
CMD  dst_drift_tree: exit=0
CMD  dst_drift_seal: exit=0
CMD  dst_drift_workspace_all_checks: exit=0
FAIL [faithful_protocol_fixture] git_sealed_patch_and_tested_input_are_same
PASS [corrected_verification_protocol] git_clean_verifier_detects_omission_and_input_drift

GROUP evolution
FAIL [injected_bad_evaluator] evolution_completed_only_ranking_truthful
PASS [controlled_gate_simulation] evolution_denominator_cheat_rejected
PASS [controlled_gate_simulation] evolution_missing_trials_not_dropped
PASS [controlled_gate_simulation] evolution_frozen_evaluator_and_activation_enforced
PASS [controlled_gate_simulation] evolution_candidate_passes_preregistered_synthetic_gates
PASS [controlled_gate_simulation] evolution_sealed_test_once
PASS [controlled_gate_simulation] evolution_rejected_candidate_no_release
PASS [controlled_gate_simulation] evolution_running_task_version_sticky
PASS [controlled_gate_simulation] evolution_critical_regression_rolls_back_entire_bundle
PASS [audit_integrity] manuscript_unchanged_during_run
PASS [audit_integrity] requirements_unchanged_during_run
SUMMARY {"run_dir": "/Users/xuhai.zhang/Documents/doc/AI Workforce/research/Agent_Harness_Book_Research_20260822/research/audits/review_20260919/execution/runs/20260919T095940Z_b_il6ikt", "blocks": 120, "markdown_files": 41, "zero_block_markdown_files": ["manuscript/appendices/B_architecture_review_checklist.md", "manuscript/appendices/C_glossary.md", "manuscript/appendices/D_concept_index.md", "manuscript/chapters/28_maturity_model_and_build_vs_buy.md", "manuscript/chapters/29_from_vendor_agents_to_owned_runtime.md", "manuscript/chapters/30_outlook_harness_os_and_evolving_agent_organizations.md", "manuscript/parts/01_history.md", "manuscript/parts/02_principles.md", "manuscript/parts/03_products.md", "manuscript/parts/04_evolution.md", "manuscript/parts/05_practice.md"], "language_counts": {"text": 93, "json": 11, "yaml": 14, "bash": 1, "sql": 1}, "coverage_categories": {"设计示意": 90, "仅schema验证": 2, "未验证": 26, "可运行代码": 2}, "check_counts": {"PASS": 109, "FAIL": 38}, "failure_severities": {"P2": 10, "P1": 25, "INJECTED": 3}, "unexpected_results": [], "audit_errors": [], "exit_code_semantics": {"0": "no failing probes", "1": "findings/negative fixtures reproduced; read report", "2": "audit implementation error or unexpected result"}, "exit_code": 1}
